filename,target_emotion,target_class,pred_emotion,pred_class,target_prob,passed_gate
angry_00000.png,angry,0,neutral,6,0.282,True
angry_00001.png,angry,0,neutral,6,0.2394,False
angry_00002.png,angry,0,neutral,6,0.4147,True
angry_00003.png,angry,0,fear,2,0.2461,False
angry_00004.png,angry,0,angry,0,0.5012,True
angry_00005.png,angry,0,angry,0,0.7173,True
angry_00006.png,angry,0,angry,0,0.7239,True
angry_00007.png,angry,0,surprise,5,0.1786,False
angry_00008.png,angry,0,neutral,6,0.0484,False
angry_00009.png,angry,0,neutral,6,0.0818,False
angry_00010.png,angry,0,neutral,6,0.2477,False
angry_00011.png,angry,0,neutral,6,0.2292,False
angry_00012.png,angry,0,fear,2,0.3144,True
angry_00013.png,angry,0,neutral,6,0.1609,False
angry_00014.png,angry,0,neutral,6,0.1899,False
angry_00015.png,angry,0,angry,0,0.4097,True
angry_00016.png,angry,0,angry,0,0.5785,True
angry_00017.png,angry,0,neutral,6,0.3373,True
angry_00018.png,angry,0,happy,3,0.0491,False
angry_00019.png,angry,0,neutral,6,0.2553,True
angry_00020.png,angry,0,angry,0,0.462,True
angry_00021.png,angry,0,fear,2,0.101,False
angry_00022.png,angry,0,angry,0,0.6184,True
angry_00023.png,angry,0,neutral,6,0.1534,False
angry_00024.png,angry,0,angry,0,0.4817,True
angry_00025.png,angry,0,happy,3,0.0608,False
angry_00026.png,angry,0,fear,2,0.2528,True
angry_00027.png,angry,0,angry,0,0.4015,True
angry_00028.png,angry,0,surprise,5,0.0328,False
angry_00029.png,angry,0,angry,0,0.3726,True
angry_00030.png,angry,0,neutral,6,0.1659,False
angry_00031.png,angry,0,neutral,6,0.0646,False
angry_00032.png,angry,0,angry,0,0.4492,True
angry_00033.png,angry,0,neutral,6,0.1759,False
angry_00034.png,angry,0,neutral,6,0.0836,False
angry_00035.png,angry,0,neutral,6,0.1147,False
angry_00036.png,angry,0,angry,0,0.8129,True
angry_00037.png,angry,0,neutral,6,0.1112,False
angry_00038.png,angry,0,disgust,1,0.0465,False
angry_00039.png,angry,0,neutral,6,0.1171,False
angry_00040.png,angry,0,angry,0,0.3779,True
angry_00041.png,angry,0,neutral,6,0.138,False
angry_00042.png,angry,0,angry,0,0.8574,True
angry_00043.png,angry,0,angry,0,0.2826,True
angry_00044.png,angry,0,angry,0,0.5706,True
angry_00045.png,angry,0,neutral,6,0.1995,False
angry_00046.png,angry,0,neutral,6,0.1689,False
angry_00047.png,angry,0,neutral,6,0.2474,False
angry_00048.png,angry,0,angry,0,0.5771,True
angry_00049.png,angry,0,angry,0,0.4099,True
angry_00050.png,angry,0,surprise,5,0.0352,False
angry_00051.png,angry,0,neutral,6,0.2979,True
angry_00052.png,angry,0,neutral,6,0.1595,False
angry_00053.png,angry,0,neutral,6,0.2109,False
angry_00054.png,angry,0,neutral,6,0.2076,False
angry_00055.png,angry,0,neutral,6,0.1722,False
angry_00056.png,angry,0,neutral,6,0.1325,False
angry_00057.png,angry,0,neutral,6,0.0868,False
angry_00058.png,angry,0,angry,0,0.7392,True
angry_00059.png,angry,0,neutral,6,0.0667,False
angry_00060.png,angry,0,angry,0,0.414,True
angry_00061.png,angry,0,angry,0,0.399,True
angry_00062.png,angry,0,angry,0,0.2848,True
angry_00063.png,angry,0,angry,0,0.4576,True
angry_00064.png,angry,0,angry,0,0.5015,True
angry_00065.png,angry,0,surprise,5,0.0638,False
angry_00066.png,angry,0,neutral,6,0.2455,False
angry_00067.png,angry,0,angry,0,0.5915,True
angry_00068.png,angry,0,angry,0,0.7907,True
angry_00069.png,angry,0,neutral,6,0.2534,True
angry_00070.png,angry,0,sad,4,0.1514,False
angry_00071.png,angry,0,sad,4,0.2778,True
angry_00072.png,angry,0,angry,0,0.4761,True
angry_00073.png,angry,0,angry,0,0.5546,True
angry_00074.png,angry,0,angry,0,0.5205,True
angry_00075.png,angry,0,angry,0,0.4376,True
angry_00076.png,angry,0,angry,0,0.5482,True
angry_00077.png,angry,0,fear,2,0.4022,True
angry_00078.png,angry,0,neutral,6,0.102,False
angry_00079.png,angry,0,angry,0,0.8508,True
angry_00080.png,angry,0,neutral,6,0.2252,False
angry_00081.png,angry,0,neutral,6,0.0502,False
